network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-22 12:00:00+01:00,2021-11-22 13:00:00+01:00,2021-11-22 13:22:01+01:00,+01:00,24.6,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-23 16:00:00+01:00,2021-11-23 17:00:00+01:00,2021-11-23 17:22:02+01:00,+01:00,2.61,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-23 12:00:00+01:00,2021-11-23 13:00:00+01:00,2021-11-23 13:25:04+01:00,+01:00,0,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV000L1_00008_100,LV.LEGMC.AQ,21.004694000000004,56.523174999506395,EPSG:4979,LV0012A,STA-LV000L1,Liepaja,LV.LEGMC.AQ,2021-11-23 13:00:00+01:00,2021-11-23 14:00:00+01:00,2021-11-23 14:20:29+01:00,+01:00,35.68,1,3,4,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RP5_00008_100,LV.LEGMC.AQ,24.115872000000003,56.950605999509605,EPSG:4979,LV0019A,STA-LV00RP5,Riga Park,LV.LEGMC.AQ,2021-11-23 04:00:00+01:00,2021-11-23 05:00:00+01:00,2021-11-23 05:22:48+01:00,+01:00,,-1,3,8,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV000L1_00008_100,LV.LEGMC.AQ,21.004694000000004,56.523174999506395,EPSG:4979,LV0012A,STA-LV000L1,Liepaja,LV.LEGMC.AQ,2021-11-23 04:00:00+01:00,2021-11-23 05:00:00+01:00,2021-11-23 05:22:48+01:00,+01:00,1.63,1,3,4,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RP5_00008_100,LV.LEGMC.AQ,24.115872000000003,56.950605999509605,EPSG:4979,LV0019A,STA-LV00RP5,Riga Park,LV.LEGMC.AQ,2021-11-24 04:00:00+01:00,2021-11-24 05:00:00+01:00,2021-11-24 05:26:50+01:00,+01:00,0.643936,1,3,8,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV000L1_00008_100,LV.LEGMC.AQ,21.004694000000004,56.523174999506395,EPSG:4979,LV0012A,STA-LV000L1,Liepaja,LV.LEGMC.AQ,2021-11-22 12:00:00+01:00,2021-11-22 13:00:00+01:00,2021-11-22 13:22:01+01:00,+01:00,48.99,1,3,4,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00RZ1_00008_100,LV.LEGMC.AQ,27.333369,56.51020299950629,EPSG:4979,LV0008A,STA-LV00RZ1,Rezekne,LV.LEGMC.AQ,2021-11-23 16:00:00+01:00,2021-11-23 17:00:00+01:00,2021-11-23 17:22:02+01:00,+01:00,15.84,1,3,157,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-23 04:00:00+01:00,2021-11-23 05:00:00+01:00,2021-11-23 05:22:48+01:00,+01:00,1.65,1,3,1,ug/m3
LV,NET-LV002A,Air Quality Monitoring Network,LV.LEGMC.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+02,NO2,SPO-LV00VN1_00008_100,LV.LEGMC.AQ,21.591989000000005,57.40463299951311,EPSG:4979,LV0007A,STA-LV00VN1,Ventspils,LV.LEGMC.AQ,2021-11-23 13:00:00+01:00,2021-11-23 14:00:00+01:00,2021-11-23 14:20:28+01:00,+01:00,2.240479,1,3,1,ug/m3
